former_name,current_name,variant_type,notes
Tobias Eberle,Tobias Gehring,former_name,Name change (Eberle → Gehring); same person — confirmed via QCrypt 2013 best-student-paper record
Tobias Gehring†,Tobias Gehring,alternate_spelling,Footnote-dagger scraping artifact (also fixed at source in QCRYPT_2025/talks.csv)
Adnan Hajomer,Adnan A.E. Hajomer,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Alex Grilo,Alex Bredariol Grilo,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Andras Gilyen,Andras Pal Gilyen,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Andrew C.-C. Yao,Andrew Chi-Chih Yao,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Andrew Yao,Andrew Chi-Chih Yao,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Andrey Khesin,Andrey Boris Khesin,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Antonio A. Mele,Antonio Anna Mele,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Barbara Terhal,Barbara Maria Terhal,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Beatriz Dias,Beatriz Cardoso Dias,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Cedric Lin,Cedric Yen-Yu Lin,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Charles Ci-Wen Lim,Charles Ci Wen Lim,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Charles C.-W. Lim,Charles Ci Wen Lim,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Charles Lim,Charles Ci Wen Lim,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Daniel K. L. Oi,Daniel K.L. Oi,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Davide Marangon,Davide Giacomo Marangon,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Dax Koh,Dax Enshan Koh,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Emma Medlock,Emma Tien Hwai Medlock,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Ernest Y.-Z. Tan,Ernest Y. -Z. Tan,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Ernest Tan,Ernest Y. -Z. Tan,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Fernando G.S.L. Brandao,Fernando G.S L. Brandão,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Fernando Brandao,Fernando G.S L. Brandão,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Fernando Jeronimo,Fernando Granha Jeronimo,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Florian Curchod,Florian John Curchod,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Francesco A. Mele,Francesco Anna Mele,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
Francesco B. L Santagiustina,Francesco Bruno Leonardo Santagiustina,alternate_spelling,"fuzzy-merge: same first+last, fuller middle name/initial/particle"
